Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Law,School of Law,0.911,4804,4588,4000,5600,SMU,2020,No,SMU GES 2020,Law | SMU 2020,Law
Law (cum laude & above),School of Law,0.955,5141,5000,4500,5735,SMU,2020,No,SMU GES 2020,Law (cum laude & above) | SMU 2020,Law (cum laude & above)
Bachelor of Early Childhood Education,S R Nathan School of Human Development,0.882,2879,3000,2700,3016,SUSS,2020,No,SUSS GES 2020,Bachelor of Early Childhood Education | SUSS 2020,Early Childhood Education
Bachelor of Human Resource Management,S R Nathan School of Human Development,0.226,3051,2950,2650,3300,SUSS,2020,No,SUSS GES 2020,Bachelor of Human Resource Management | SUSS 2020,Human Resource Management
Bachelor of Social Work,S R Nathan School of Human Development,0.892,3486,3500,3450,3655,SUSS,2020,No,SUSS GES 2020,Bachelor of Social Work | SUSS 2020,Social Work
Bachelor of Accountancy,School of Business,0.817,3116,3000,3000,3000,SUSS,2020,No,SUSS GES 2020,Bachelor of Accountancy | SUSS 2020,Accountancy
Bachelor of Science in Finance,School of Business,0.5,3854,3163,2850,4466,SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Finance | SUSS 2020,Finance
Bachelor of Science in Marketing,School of Business,0.513,3246,2900,2750,3520,SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Marketing | SUSS 2020,Marketing
Bachelor of Science in Supply Chain Management,School of Business,0.36,3284,3185,2950,3500,SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Supply Chain Management | SUSS 2020,Supply Chain Management
Bachelor of Engineering (Engineering Product Development),SUTD,0.821,3901,3800,3500,4150,SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Engineering Product Development) | SUTD 2020,Engineering Product Development
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.771,4287,4000,3725,4900,SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2020,Engineering Systems & Design
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.854,4734,4500,4000,5000,SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2020,Information Systems Technology & Design
Bachelor of Science (Architecture & Sustainable Design),SUTD,0.956,3982,3800,3500,4070,SUTD,2020,No,SUTD GES 2020,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2020,Architecture & Sustainable Design
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.786,3575,3500,3100,3600,SIT,2020,No,SIT GES 2020,Bachelor of Arts in Game Design | SIT 2020,Game Design
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.706,2862,2887,2675,3000,SIT,2020,No,SIT GES 2020,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2020,Fine Arts in Digital Arts & Animation
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0.818,3974,4000,3500,4200,SIT,2020,No,SIT GES 2020,Bachelor of Science in Computer Science & Game Design | SIT 2020,Computer Science & Game Design
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.905,4399,4200,3880,4500,SIT,2020,No,SIT GES 2020,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2020,Computer Science in Real-Time Interactive Simulation
Bachelor of Accountancy with Honours,Singapore Institute of Technology,0.698,3120,3000,3000,3200,SIT,2020,No,SIT GES 2020,Bachelor of Accountancy with Honours | SIT 2020,Accountancy with Honours
Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),Singapore Institute of Technology,0.959,4237,4300,3600,4630,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) | SIT 2020,in Information & Communications Technology (Information Security) with Honours
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Singapore Institute of Technology,0.83,4366,4000,3600,4750,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering) | SIT 2020,in Information & Communications Technology (Software Engineering) with Honours
Bachelor of Engineering with Honours in Pharmaceutical Engineering,Singapore Institute of Technology,0.739,3749,3740,3400,4000,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Pharmaceutical Engineering | SIT 2020,in Pharmaceutical Engineering with Honours
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),Singapore Institute of Technology,0.846,3702,3500,3375,3800,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services) | SIT 2020,in Sustainable Infrastructure Engineering (Building Services) with Honours
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Singapore Institute of Technology,0.771,4203,4105,3650,4370,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land) | SIT 2020,in Sustainable Infrastructure Engineering (Land) with Honours
Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering),Singapore Institute of Technology,0.554,4135,4200,3380,4800,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering) | SIT 2020,in Telematics (Intelligent Transportation Systems Engineering) with Honours
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.479,3148,3000,2800,3400,SIT,2020,No,SIT GES 2020,Bachelor of Hospitality Business with Honours | SIT 2020,Hospitality Business with Honours
Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems),SIT-DigiPen Institute of Technology,0.826,4114,4185,3750,4250,SIT,2020,No,SIT GES 2020,Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems) | SIT 2020,Systems Engineering (ElectroMechanical Systems)
Bachelor of Food Technology with Honours,SIT-Massey University,0.524,3084,3000,2770,3400,SIT,2020,No,SIT GES 2020,Bachelor of Food Technology with Honours | SIT 2020,Food Technology with Honours
Bachelor of Engineering with Honours in Chemical Engineering,SIT-Newcastle University,0.478,3242,3200,3000,3500,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2020,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Electrical Power Engineering,SIT-Newcastle University,0.688,3603,3500,3400,3850,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2020,in Electrical Power Engineering with Honours
Bachelor of Engineering with Honours in Marine Engineering,SIT-Newcastle University,0.792,3821,3750,3300,4370,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Marine Engineering | SIT 2020,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,SIT-Newcastle University,0.571,3443,3350,3025,3925,SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2020,in Mechanical Design & Manufacturing Engineering with Honours
