Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey",modified_qual
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.837,3952,3950,3338,4450,SUTD,2015,No,SUTD GES 2015,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2015,Information Systems Technology & Design
Bachelor of Science (Architecture & Sustainable Design),SUTD,0,0,0,0,0,SUTD,2015,Suppressed,SUTD GES 2015,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2015,Architecture & Sustainable Design
Bachelor of Engineering (Engineering Product Development),SUTD,0.797,3690,3600,3300,3750,SUTD,2016,No,SUTD GES 2016,Bachelor of Engineering (Engineering Product Development) | SUTD 2016,Engineering Product Development
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.919,4232,4000,3500,4950,SUTD,2016,No,SUTD GES 2016,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2016,Information Systems Technology & Design
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.935,3830,3650,3550,4200,SUTD,2016,No,SUTD GES 2016,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2016,Engineering Systems & Design
Bachelor of Science (Architecture & Sustainable Design),SUTD,0,0,0,0,0,SUTD,2016,Suppressed,SUTD GES 2016,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2016,Architecture & Sustainable Design
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0,0,0,0,0,SIT,2016,Suppressed,SIT GES 2016,Bachelor of Arts in Game Design | SIT 2016,Game Design
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.533,3052,3000,2700,3016,SIT,2016,No,SIT GES 2016,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2016,Fine Arts in Digital Arts & Animation
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0.857,3329,3400,3100,3500,SIT,2016,No,SIT GES 2016,Bachelor of Science in Computer Science & Game Design | SIT 2016,Computer Science & Game Design
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.929,3803,4000,3500,4200,SIT,2016,No,SIT GES 2016,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2016,Computer Science in Real-Time Interactive Simulation
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.589,2652,2600,2500,2700,SIT,2016,No,SIT GES 2016,Bachelor of Arts with Honours in Communication Design | SIT 2016,in Communication Design with Honours
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.763,2485,2515,2200,2800,SIT,2016,No,SIT GES 2016,Bachelor of Arts with Honours in Interior Design | SIT 2016,in Interior Design with Honours
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.718,3463,3300,3080,3650,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2016,in Chemical Engineering with Honours
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.797,3440,3200,2800,3700,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2016,in Electrical Power Engineering with Honours
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.81,3956,3840,3200,4530,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Marine Engineering | SIT 2016,in Marine Engineering with Honours
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.778,3344,3200,2900,3575,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2016,in Mechanical Design & Manufacturing Engineering with Honours
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,0.9,3239,3300,3000,3500,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Naval Architecture | SIT 2016,in Naval Architecture with Honours
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.727,3286,3430,3000,3600,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2016,in Offshore Engineering with Honours
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.622,2707,2600,2420,2800,SIT,2016,No,SIT GES 2016,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2016,in Food & Human Nutrition with Honours
Bachelor of Science in Chemical Engineering,Technische Universität München,0.679,3149,3130,2500,3700,SIT,2016,No,SIT GES 2016,Bachelor of Science in Chemical Engineering | SIT 2016,Chemical Engineering
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.864,3042,3000,2825,3350,SIT,2016,No,SIT GES 2016,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2016,Electrical Engineering & Information Technology
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.69,2344,2300,2000,2500,SIT,2016,No,SIT GES 2016,Bachelor of Professional Studies in Culinary Arts Management | SIT 2016,Professional Studies in Culinary Arts Management
Bachelor in Science (Diagnostic Radiography),Trinity College Dublin,0.882,3628,3660,3400,3930,SIT,2016,No,SIT GES 2016,Bachelor in Science (Diagnostic Radiography) | SIT 2016,Bachelor in Science (Diagnostic Radiography)
Bachelor in Science (Occupational Therapy),Trinity College Dublin,1,3301,3200,3100,3500,SIT,2016,No,SIT GES 2016,Bachelor in Science (Occupational Therapy) | SIT 2016,Bachelor in Science (Occupational Therapy)
Bachelor in Science (Physiotherapy),Trinity College Dublin,1,3344,3300,3240,3500,SIT,2016,No,SIT GES 2016,Bachelor in Science (Physiotherapy) | SIT 2016,Bachelor in Science (Physiotherapy)
Bachelor in Science (Radiation Therapy),Trinity College Dublin,0,0,0,0,0,SIT,2016,Suppressed,SIT GES 2016,Bachelor in Science (Radiation Therapy) | SIT 2016,Bachelor in Science (Radiation Therapy)
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.653,3277,3200,2800,3700,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2016,in Aeronautical Engineering with Honours
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.644,3390,3275,2900,4009,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2016,in Aerospace Systems with Honours
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.704,3273,3200,3000,3365,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2016,in Mechanical Design Engineering with Honours
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.803,3523,3300,3000,3800,SIT,2016,No,SIT GES 2016,Bachelor of Engineering with Honours in Mechatronics | SIT 2016,in Mechatronics with Honours
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.816,3704,3600,3400,3900,SIT,2016,No,SIT GES 2016,Bachelor of Science with Honours in Computing Science | SIT 2016,in Computing Science with Honours
Bachelor of Science with Honours in Nursing Practice,University of Manchester,0.855,3600,3600,3400,3750,SIT,2016,No,SIT GES 2016,Bachelor of Science with Honours in Nursing Practice | SIT 2016,in Nursing Practice with Honours
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.815,4131,4200,3700,4600,SIT,2016,No,SIT GES 2016,Bachelor of Arts with Honours in Criminology & Security | SIT 2016,in Criminology & Security with Honours
Bachelor of Science in Early Childhood Education,Wheelock College,0.92,2707,2700,2600,2850,SIT,2016,No,SIT GES 2016,Bachelor of Science in Early Childhood Education | SIT 2016,Early Childhood Education
Bachelor of Accountancy (Hons),Nanyang Business School,0.945,3166,3000,2900,3100,NTU,2017,No,NTU GES 2017,Bachelor of Accountancy (Hons) | NTU 2017,Accountancy (Hons)
Double Degree in Bachelor of Accountancy (Hons) & Bachelor of Business (Hons),Nanyang Business School,0.943,3892,3600,3013,4317,NTU,2017,No,NTU GES 2017,Double Degree in Bachelor of Accountancy (Hons) & Bachelor of Business (Hons) | NTU 2017,Accountancy  & Bachelor of Business (Hons)
Bachelor of Business (Hons),Nanyang Business School,0.808,3643,3300,3000,3800,NTU,2017,No,NTU GES 2017,Bachelor of Business (Hons) | NTU 2017,Business
Double Degree in Bachelor of Business (Hons) & Bachelor of Engineering (Hons) (Computer Science),Nanyang Business School,0.95,5225,5000,4000,5362,NTU,2017,No,NTU GES 2017,Double Degree in Bachelor of Business (Hons) & Bachelor of Engineering (Hons) (Computer Science) | NTU 2017,Business  & Bachelor of Engineering  (Computer Science) (Hons)
Bachelor of Engineering (Hons) (Aerospace Engineering),College of Engineering,0.75,3702,3500,3250,4210,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Aerospace Engineering) | NTU 2017,Aerospace Engineering (Hons)
Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Aerospace Engineering) & Bachelor of Arts  in Economics (Hons)
Bachelor of Engineering (Hons) (Bioengineering),College of Engineering,0.652,3486,3419,3000,3825,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Bioengineering) | NTU 2017,Bioengineering (Hons)
Bachelor of Engineering (Hons) (Chemical & Biomolecular Engineering),College of Engineering,0.753,3577,3500,3200,4000,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Chemical & Biomolecular Engineering) | NTU 2017,Chemical & Biomolecular Engineering (Hons)
Double Degree in Bachelor of Engineering (Hons) (Chemical & Biomolecular Engineering) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Chemical & Biomolecular Engineering) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Chemical & Biomolecular Engineering) & Bachelor of Arts  in Economics (Hons)
Bachelor of Engineering (Hons) (Civil Engineering),College of Engineering,0.969,3442,3400,3190,3675,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Civil Engineering) | NTU 2017,Civil Engineering (Hons)
Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Civil Engineering) & Bachelor of Arts  in Economics (Hons)
Bachelor of Engineering (Hons) (Computer Engineering),College of Engineering,0.878,3743,3600,3450,3925,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Computer Engineering) | NTU 2017,Computer Engineering (Hons)
Bachelor of Engineering (Hons) (Computer Science),College of Engineering,0.867,4160,3850,3500,4500,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Computer Science) | NTU 2017,Computer Science (Hons)
Double Degree in Bachelor of Business (Hons) & Bachelor of Engineering (Hons) (Computer Engineering),College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Business (Hons) & Bachelor of Engineering (Hons) (Computer Engineering) | NTU 2017,Business  & Bachelor of Engineering  (Computer Engineering) (Hons)
Bachelor of Engineering (Hons) (Electrical & Electronic Engineering),College of Engineering,0.85,3657,3600,3200,4000,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Electrical & Electronic Engineering) | NTU 2017,Electrical & Electronic Engineering (Hons)
Bachelor of Engineering (Hons) (Environmental Engineering),College of Engineering,0.641,3588,3635,3200,3950,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Environmental Engineering) | NTU 2017,Environmental Engineering (Hons)
Bachelor of Engineering (Hons) (Information Engineering & Media),College of Engineering,0.787,3790,3700,3350,4200,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Information Engineering & Media) | NTU 2017,Information Engineering & Media (Hons)
Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Information Engineering & Media) & Bachelor of Arts  in Economics (Hons)
Bachelor of Science (Hons) (Maritime Studies),College of Engineering,0.922,3333,3320,3000,3500,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) (Maritime Studies) | NTU 2017,Maritime Studies (Hons)
Bachelor of Engineering (Hons) (Materials Engineering),College of Engineering,0.756,3434,3375,3200,3700,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Materials Engineering) | NTU 2017,Materials Engineering (Hons)
Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Materials Engineering) & Bachelor of Arts  in Economics (Hons)
Bachelor of Engineering (Hons) (Mechanical Engineering),College of Engineering,0.749,3579,3450,3100,4000,NTU,2017,No,NTU GES 2017,Bachelor of Engineering (Hons) (Mechanical Engineering) | NTU 2017,Mechanical Engineering (Hons)
Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) & Bachelor of Arts (Hons) in Economics,College of Engineering,0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) & Bachelor of Arts (Hons) in Economics | NTU 2017,Engineering  (Mechanical Engineering) & Bachelor of Arts  in Economics (Hons)
Bachelor of Fine Arts (Hons),"College of Humanities, Arts, & Social Sciences",0.54,2909,2800,2500,3200,NTU,2017,No,NTU GES 2017,Bachelor of Fine Arts (Hons) | NTU 2017,Fine Arts (Hons)
Bachelor of Arts (Hons) in Chinese,"College of Humanities, Arts, & Social Sciences",0.677,3147,3300,2750,3500,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Chinese | NTU 2017,in Chinese (Hons)
Bachelor of Communication Studies (Hons),"College of Humanities, Arts, & Social Sciences",0.622,3184,3000,2775,3500,NTU,2017,No,NTU GES 2017,Bachelor of Communication Studies (Hons) | NTU 2017,Communication Studies (Hons)
Bachelor of Arts (Hons) in Economics,"College of Humanities, Arts, & Social Sciences",0.755,3379,3240,3000,3720,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Economics | NTU 2017,in Economics (Hons)
Bachelor of Arts (Hons) in English,"College of Humanities, Arts, & Social Sciences",0.508,3149,3000,2800,3300,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in English | NTU 2017,in English (Hons)
Bachelor of Arts (Hons) in History,"College of Humanities, Arts, & Social Sciences",0.684,3265,3200,3000,3600,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in History | NTU 2017,in History (Hons)
Bachelor of Arts (Hons) in Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.6,3117,3100,2600,3500,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Linguistics & Multilingual Studies | NTU 2017,in Linguistics & Multilingual Studies (Hons)
Bachelor of Arts (Hons) in Philosophy,"College of Humanities, Arts, & Social Sciences",0,0,0,0,0,NTU,2017,Suppressed,NTU GES 2017,Bachelor of Arts (Hons) in Philosophy | NTU 2017,in Philosophy (Hons)
Bachelor of Arts (Hons) in Psychology,"College of Humanities, Arts, & Social Sciences",0.592,3151,3200,2890,3500,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Psychology | NTU 2017,in Psychology (Hons)
Bachelor of Arts (Hons) in Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.667,3479,3395,3160,3750,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Public Policy & Global Affairs | NTU 2017,in Public Policy & Global Affairs (Hons)
Bachelor of Arts (Hons) in Sociology,"College of Humanities, Arts, & Social Sciences",0.621,3309,3228,2970,3500,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) in Sociology | NTU 2017,in Sociology (Hons)
Double Degree in Bachelor of Science (Hons) in Biomedical Sciences & Bachelor of Medicine (Chinese Medicine),College of Science,0.8,2792,2950,2500,3035,NTU,2017,No,NTU GES 2017,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences & Bachelor of Medicine (Chinese Medicine) | NTU 2017,Science  in Biomedical Sciences & Bachelor of Medicine (Chinese Medicine) (Hons)
Bachelor of Science (Hons) in Biological Sciences,College of Science,0.626,3255,3200,3000,3500,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) in Biological Sciences | NTU 2017,in Biological Sciences (Hons)
Bachelor of Science (Hons) in Chemistry & Biological Chemistry,College of Science,0.511,3173,3100,2800,3488,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) in Chemistry & Biological Chemistry | NTU 2017,in Chemistry & Biological Chemistry (Hons)
Bachelor of Science (Hons) in Mathematical Sciences,College of Science,0.795,3580,3500,3100,3800,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) in Mathematical Sciences | NTU 2017,in Mathematical Sciences (Hons)
Bachelor of Science (Hons) in Mathematics & Economics,College of Science,0.831,3625,3400,3013,3775,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) in Mathematics & Economics | NTU 2017,in Mathematics & Economics (Hons)
Bachelor of Science (Hons) in Physics/Applied Physics,College of Science,0.618,3490,3300,3000,3819,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) in Physics/Applied Physics | NTU 2017,in Physics/Applied Physics (Hons)
Bachelor of Science (Hons) (Sport Science & Management),Sports Science & Management,0.486,3486,3450,2800,4000,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) (Sport Science & Management) | NTU 2017,Sport Science & Management (Hons)
Bachelor of Arts (Hons) (Education),National Institute of Education (NIE),1,3589,3600,3500,3800,NTU,2017,No,NTU GES 2017,Bachelor of Arts (Hons) (Education) | NTU 2017,Education (Hons)
Bachelor of Science (Hons) (Education),National Institute of Education (NIE),1,3701,3701,3500,3958,NTU,2017,No,NTU GES 2017,Bachelor of Science (Hons) (Education) | NTU 2017,Education (Hons)
Bachelor of Arts,Faculty of Arts & Social Sciences,0.619,3107,3000,2700,3300,NUS,2017,No,NUS GES 2017,Bachelor of Arts | NUS 2017,Arts
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.667,3391,3360,3000,3600,NUS,2017,No,NUS GES 2017,Bachelor of Arts (Hons) | NUS 2017,Arts
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.747,3443,3300,3000,3750,NUS,2017,No,NUS GES 2017,Bachelor of Social Sciences | NUS 2017,Social Sciences
Bachelor of Dental Surgery,Faculty of Dentistry,1,4143,4050,4000,4400,NUS,2017,No,NUS GES 2017,Bachelor of Dental Surgery | NUS 2017,Dental Surgery
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.813,3367,3300,3000,3700,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Biomedical Engineering) | NUS 2017,Biomedical Engineering
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.813,3727,3600,3300,4000,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Chemical Engineering) | NUS 2017,Chemical Engineering
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.909,3427,3300,3135,3700,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Civil Engineering) | NUS 2017,Civil Engineering
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.865,3641,3600,3300,3900,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Electrical Engineering) | NUS 2017,Electrical Engineering
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.647,3827,3675,3440,4200,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Engineering Science) | NUS 2017,Engineering Science
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.712,3546,3350,3000,3800,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Environmental Engineering) | NUS 2017,Environmental Engineering
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.899,4035,3875,3450,4200,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2017,Industrial & Systems Engineering
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.86,3570,3388,3200,3950,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Materials Science & Engineering) | NUS 2017,Materials Science & Engineering
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.823,3657,3450,3100,4000,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Mechanical Engineering) | NUS 2017,Mechanical Engineering
Bachelor of Laws,Faculty of Law,0.923,5121,5000,4500,5600,NUS,2017,No,NUS GES 2017,Bachelor of Laws | NUS 2017,Laws
Bachelor of Applied Science,Faculty of Science,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Applied Science | NUS 2017,Applied Science
Bachelor of Applied Science (Hons),Faculty of Science,0.5,3187,3085,2800,3200,NUS,2017,No,NUS GES 2017,Bachelor of Applied Science (Hons) | NUS 2017,Applied Science (Hons)
Bachelor of Science,Faculty of Science,0.545,3214,3082,2800,3400,NUS,2017,No,NUS GES 2017,Bachelor of Science | NUS 2017,Science
Bachelor of Science (Hons),Faculty of Science,0.693,3435,3300,3000,3700,NUS,2017,No,NUS GES 2017,Bachelor of Science (Hons) | NUS 2017,Science
Bachelor of Science (Computational Biology),Faculty of Science,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Science (Computational Biology) | NUS 2017,Computational Biology
Bachelor of Science (Pharmacy),Faculty of Science,0.945,3616,3600,3500,3800,NUS,2017,No,NUS GES 2017,Bachelor of Science (Pharmacy) | NUS 2017,Pharmacy
Bachelor of Business Administration,NUS Business School,0.873,4031,3500,3000,4333,NUS,2017,No,NUS GES 2017,Bachelor of Business Administration | NUS 2017,Administration
Bachelor of Business Administration (Hons),NUS Business School,0.936,4388,3800,3450,4782,NUS,2017,No,NUS GES 2017,Bachelor of Business Administration (Hons) | NUS 2017,Administration (Hons)
Bachelor of Business Administration (Accountancy),NUS Business School,0.944,3473,3025,3000,3600,NUS,2017,No,NUS GES 2017,Bachelor of Business Administration (Accountancy) | NUS 2017,Administration (Accountancy)
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,1,3744,3125,3000,4023,NUS,2017,No,NUS GES 2017,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2017,Administration (Accountancy) (Hons)
Bachelor of Computing (Communications & Media),School of Computing,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Computing (Communications & Media) | NUS 2017,Communications & Media
Bachelor of Computing (Computational Biology),School of Computing,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Computing (Computational Biology) | NUS 2017,Computational Biology
Bachelor of Computing (Computer Science),School of Computing,0.894,4628,4285,3656,5000,NUS,2017,No,NUS GES 2017,Bachelor of Computing (Computer Science) | NUS 2017,Computer Science
Bachelor of Computing (Electronic Commerce),School of Computing,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Computing (Electronic Commerce) | NUS 2017,Electronic Commerce
Bachelor of Computing (Information Security),School of Computing,0,0,0,0,0,NUS,2017,Suppressed,NUS GES 2017,Bachelor of Computing (Information Security) | NUS 2017,Information Security
Bachelor of Computing (Information Systems),School of Computing,0.918,4192,4000,3550,4592,NUS,2017,No,NUS GES 2017,Bachelor of Computing (Information Systems) | NUS 2017,Information Systems
Bachelor of Science (Business Analytics),School of Computing,0.976,4203,4000,3500,4766,NUS,2017,No,NUS GES 2017,Bachelor of Science (Business Analytics) | NUS 2017,Business Analytics
Bachelor of Arts (Architecture),School of Design & Environment,0.864,4079,4000,3780,4300,NUS,2017,No,NUS GES 2017,Bachelor of Arts (Architecture) | NUS 2017,Architecture
Bachelor of Arts (Industrial Design),School of Design & Environment,0.6,3079,2920,2600,3200,NUS,2017,No,NUS GES 2017,Bachelor of Arts (Industrial Design) | NUS 2017,Industrial Design
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.817,3162,3000,2900,3300,NUS,2017,No,NUS GES 2017,Bachelor of Science (Project & Facilities Management) | NUS 2017,Project & Facilities Management
Bachelor of Science (Real Estate),School of Design & Environment,0.887,3168,3000,2800,3300,NUS,2017,No,NUS GES 2017,Bachelor of Science (Real Estate) | NUS 2017,Real Estate
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1,4882,5000,4500,5305,NUS,2017,No,NUS GES 2017,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2017,Medicine & Bachelor of Surgery (MBBS)
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.974,3328,3400,3200,3450,NUS,2017,No,NUS GES 2017,Bachelor of Science (Nursing) | NUS 2017,Nursing
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.898,3462,3500,3300,3650,NUS,2017,No,NUS GES 2017,Bachelor of Science (Nursing) (Hons) | NUS 2017,Nursing (Hons)
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.267,2500,2225,2050,2950,NUS,2017,No,NUS GES 2017,Bachelor of Music | NUS 2017,Music
Bachelor of Arts with Honours,Yale-NUS College,0.766,3956,3500,3075,4000,NUS,2017,No,NUS GES 2017,Bachelor of Arts with Honours | NUS 2017,Arts
Bachelor of Science with Honours,Yale-NUS College,0.75,4362,4083,3600,4875,NUS,2017,No,NUS GES 2017,Bachelor of Science with Honours | NUS 2017,Science
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.847,4131,3900,3588,4500,NUS,2017,No,NUS GES 2017,Bachelor of Engineering (Computer Engineering) | NUS 2017,Computer Engineering
Bachelor of Environmental Studies,Multidisciplinary Programme,0.623,3419,3300,3000,3600,NUS,2017,No,NUS GES 2017,Bachelor of Environmental Studies | NUS 2017,Environmental Studies
Accountancy (4-year programme),School of Accountancy,0.966,3646,3000,2920,3600,SMU,2017,No,SMU GES 2017,Accountancy (4-year programme) | SMU 2017,Accountancy (4-year programme)
Accountancy (4-year programme) (cum laude & above),School of Accountancy,0.978,4089,3200,3000,4645,SMU,2017,No,SMU GES 2017,Accountancy (4-year programme) (cum laude & above) | SMU 2017,Accountancy (4-year programme) (cum laude & above)
Business Management (4-year programme),School of Business,0.857,3995,3500,3050,4362,SMU,2017,No,SMU GES 2017,Business Management (4-year programme) | SMU 2017,Business Management (4-year programme)
Business Management (4-year programme) (cum laude & above),School of Business,0.92,4504,4000,3300,5000,SMU,2017,No,SMU GES 2017,Business Management (4-year programme) (cum laude & above) | SMU 2017,Business Management (4-year programme) (cum laude & above)
Economics (4-year programme),School of Economics,0.826,4143,3700,3300,4583,SMU,2017,No,SMU GES 2017,Economics (4-year programme) | SMU 2017,Economics (4-year programme)
Economics (4-year programme) (cum laude & above),School of Economics,0.905,4737,4100,3600,5113,SMU,2017,No,SMU GES 2017,Economics (4-year programme) (cum laude & above) | SMU 2017,Economics (4-year programme) (cum laude & above)
Information Systems Management (4-year programme),School of Information Systems,0.913,4014,4000,3550,4500,SMU,2017,No,SMU GES 2017,Information Systems Management (4-year programme) | SMU 2017,Information Systems Management (4-year programme)
